gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
IRF7,3.413754054519504e-45,-5.480512799534859,DMSO,Ruxolitinib,4.545683030491761e-44,All age groups,op,Ruxolitinib,CD4T
IRF9,2.674356225909084e-69,-3.912009051078169,DMSO,Ruxolitinib,5.204708655038448e-68,All age groups,op,Ruxolitinib,CD4T
JUN,1.690305560262444e-07,-1.1500627494691151,DMSO,Ruxolitinib,6.479504647672701e-07,All age groups,op,Ruxolitinib,CD4T
JUNB,0.00938744262322559,-0.5525702377335474,DMSO,Ruxolitinib,0.021205562354250664,All age groups,op,Ruxolitinib,CD4T
JUND,0.0052709730997503364,-0.6544081131932528,DMSO,Ruxolitinib,0.012700535183207955,All age groups,op,Ruxolitinib,CD4T
KAT7,0.17937676493568644,-0.21989159251638077,DMSO,Ruxolitinib,0.27520706950622265,All age groups,op,Ruxolitinib,CD4T
KDM2A,0.6594564893558608,-0.15432220570470653,DMSO,Ruxolitinib,0.7397640902322801,All age groups,op,Ruxolitinib,CD4T
KDM5B,0.0746756986148072,-0.0771267250118403,DMSO,Ruxolitinib,0.13304895598271987,All age groups,op,Ruxolitinib,CD4T
KLF10,0.0004490147743545107,-1.6696544053576703,DMSO,Ruxolitinib,0.0013523897370439429,All age groups,op,Ruxolitinib,CD4T
KLF12,0.7269732885402318,-0.13810702662771726,DMSO,Ruxolitinib,0.7828023139194297,All age groups,op,Ruxolitinib,CD4T
KLF13,0.0660074352831512,-0.40258895764402547,DMSO,Ruxolitinib,0.1192848651902661,All age groups,op,Ruxolitinib,CD4T
KLF2,0.0010757477101385274,-0.6456324438694576,DMSO,Ruxolitinib,0.0029583062028809503,All age groups,op,Ruxolitinib,CD4T
KLF3,0.5390189768561819,0.12881642701027357,DMSO,Ruxolitinib,0.6342874471842513,All age groups,op,Ruxolitinib,CD4T
KLF6,1.6458515392312443e-05,-3.1260752704393497,DMSO,Ruxolitinib,5.627032965209525e-05,All age groups,op,Ruxolitinib,CD4T
KLF7,4.405236480208672e-10,0.5490164509640465,DMSO,Ruxolitinib,2.1028770367788567e-09,All age groups,op,Ruxolitinib,CD4T
KLF8,0.0066678041536042554,-0.6593092676316155,DMSO,Ruxolitinib,0.01576592944730726,All age groups,op,Ruxolitinib,CD4T
KLF9,0.03381978847544851,-0.09375727524169265,DMSO,Ruxolitinib,0.06632873243634474,All age groups,op,Ruxolitinib,CD4T
KMT2A,0.08029273127674584,-0.5999074235014158,DMSO,Ruxolitinib,0.14192523480144317,All age groups,op,Ruxolitinib,CD4T
LCOR,0.5009779477201286,-0.13964944718489392,DMSO,Ruxolitinib,0.5978651923263798,All age groups,op,Ruxolitinib,CD4T
LEF1,4.183246538914374e-06,1.9160549093545864,DMSO,Ruxolitinib,1.5119448204933378e-05,All age groups,op,Ruxolitinib,CD4T
MAF,0.0003146004962534364,-1.5767515294219507,DMSO,Ruxolitinib,0.001007518044963537,All age groups,op,Ruxolitinib,CD4T
MAFF,0.7988664393317643,-0.027861233097876248,DMSO,Ruxolitinib,0.8353408208383476,All age groups,op,Ruxolitinib,CD4T
MAX,6.1262901695510085e-87,-0.9614472762106973,DMSO,Ruxolitinib,2.2142163041377217e-85,All age groups,op,Ruxolitinib,CD4T
MAZ,9.043282711825878e-43,-1.2875291294961941,DMSO,Ruxolitinib,1.0399775118599761e-41,All age groups,op,Ruxolitinib,CD4T
MBD2,0.002821206157864455,-0.6086583893052665,DMSO,Ruxolitinib,0.007358403690100074,All age groups,op,Ruxolitinib,CD4T
MBD4,1.563006501211e-09,-0.21643780466554516,DMSO,Ruxolitinib,6.937555172041807e-09,All age groups,op,Ruxolitinib,CD4T
MEF2A,0.09599631219532176,0.22630434414881329,DMSO,Ruxolitinib,0.1577082271780286,All age groups,op,Ruxolitinib,CD4T
MEF2D,0.47830501865390207,-0.10554221717566746,DMSO,Ruxolitinib,0.5762436653306534,All age groups,op,Ruxolitinib,CD4T
MGA,0.19703589628054252,-0.27010840756026744,DMSO,Ruxolitinib,0.2910001621986421,All age groups,op,Ruxolitinib,CD4T
MLX,2.599297483830949e-18,-0.6045156900771183,DMSO,Ruxolitinib,1.8267285094700833e-17,All age groups,op,Ruxolitinib,CD4T
MSC,0.0012280235418370374,-1.1582026519845956,DMSO,Ruxolitinib,0.003340752215965274,All age groups,op,Ruxolitinib,CD4T
MTF2,9.892380613756438e-10,-0.4272540555327747,DMSO,Ruxolitinib,4.550495082327961e-09,All age groups,op,Ruxolitinib,CD4T
MXD4,0.0006774730541815354,-1.2290780209718832,DMSO,Ruxolitinib,0.0019477350307719142,All age groups,op,Ruxolitinib,CD4T
MXI1,0.010627673234125315,0.18141964608429095,DMSO,Ruxolitinib,0.0237947020197673,All age groups,op,Ruxolitinib,CD4T
MYBL1,0.010732065701788836,-0.684817783622038,DMSO,Ruxolitinib,0.02381765458379452,All age groups,op,Ruxolitinib,CD4T
MYC,0.31697209063988385,-0.3035374238243769,DMSO,Ruxolitinib,0.4155126369528011,All age groups,op,Ruxolitinib,CD4T
NCOA1,0.32723309140008017,-0.1882923425062728,DMSO,Ruxolitinib,0.42456395961138604,All age groups,op,Ruxolitinib,CD4T
NCOA2,0.6439955160801848,-0.0827908042634012,DMSO,Ruxolitinib,0.734546025091367,All age groups,op,Ruxolitinib,CD4T
NCOA3,0.6183271492916325,0.06923552233762442,DMSO,Ruxolitinib,0.720906768528954,All age groups,op,Ruxolitinib,CD4T
NFAT5,0.08379881319097988,-0.38916293737301544,DMSO,Ruxolitinib,0.14621448094702008,All age groups,op,Ruxolitinib,CD4T
NFATC1,0.528077050558657,-0.05928623651736942,DMSO,Ruxolitinib,0.6243153915483187,All age groups,op,Ruxolitinib,CD4T
NFATC2,0.042451539647460255,-1.1983711759182636,DMSO,Ruxolitinib,0.08015104127468242,All age groups,op,Ruxolitinib,CD4T
NFATC3,0.4296776937400876,-0.23172890101164967,DMSO,Ruxolitinib,0.5277109539623406,All age groups,op,Ruxolitinib,CD4T
NFE2L2,0.7384640925471555,-0.024410671120469612,DMSO,Ruxolitinib,0.7916585398916539,All age groups,op,Ruxolitinib,CD4T
NFKB1,0.09519867084337344,-0.3671403145933401,DMSO,Ruxolitinib,0.1574200243357744,All age groups,op,Ruxolitinib,CD4T
NFKB2,2.6800240176172387e-25,-0.8649089709825911,DMSO,Ruxolitinib,2.2601535881905382e-24,All age groups,op,Ruxolitinib,CD4T
NFYC,1.8773377716577592e-13,-0.3591572354604722,DMSO,Ruxolitinib,1.0325357744117675e-12,All age groups,op,Ruxolitinib,CD4T
NR1D2,0.7185470121985412,-0.11714641028650934,DMSO,Ruxolitinib,0.7828023139194297,All age groups,op,Ruxolitinib,CD4T
NR1H2,5.796126149207721e-36,-0.4309711878047147,DMSO,Ruxolitinib,5.865679662998214e-35,All age groups,op,Ruxolitinib,CD4T
NR2C2,0.2649330434609424,-0.15051929436447034,DMSO,Ruxolitinib,0.3584388235059809,All age groups,op,Ruxolitinib,CD4T
NR3C1,0.004771029675016836,-1.298163174779932,DMSO,Ruxolitinib,0.011719131143487958,All age groups,op,Ruxolitinib,CD4T
NR3C2,7.681756467296129e-07,0.288422491711128,DMSO,Ruxolitinib,2.900722964516299e-06,All age groups,op,Ruxolitinib,CD4T
NR4A1,0.0010633542888096358,-0.3311159765577815,DMSO,Ruxolitinib,0.0029563586271300867,All age groups,op,Ruxolitinib,CD4T
NR4A2,0.6445423619378794,-0.1335742418147928,DMSO,Ruxolitinib,0.734546025091367,All age groups,op,Ruxolitinib,CD4T
PBX1,0.17948287141710173,0.09238478532491948,DMSO,Ruxolitinib,0.27520706950622265,All age groups,op,Ruxolitinib,CD4T
PHF20,2.3012096336946737e-47,-0.9980096129196167,DMSO,Ruxolitinib,3.4247413960279555e-46,All age groups,op,Ruxolitinib,CD4T
PHF21A,0.24946572276381795,-0.3346262812516016,DMSO,Ruxolitinib,0.3430153688002497,All age groups,op,Ruxolitinib,CD4T
PLAG1,1.4779983654385322e-09,0.6037056544098887,DMSO,Ruxolitinib,6.6773854724276545e-09,All age groups,op,Ruxolitinib,CD4T
POU2F2,6.868142060893712e-11,-0.9452985084080604,DMSO,Ruxolitinib,3.407137140011979e-10,All age groups,op,Ruxolitinib,CD4T
PRDM1,0.0006043425213514839,-2.7349812364244297,DMSO,Ruxolitinib,0.0017574558379531658,All age groups,op,Ruxolitinib,CD4T
PRDM2,0.38164445574264294,-0.19342680553788524,DMSO,Ruxolitinib,0.4756455532162003,All age groups,op,Ruxolitinib,CD4T
RARA,0.0005569733113094792,-1.4199532953896314,DMSO,Ruxolitinib,0.0016578146795446851,All age groups,op,Ruxolitinib,CD4T
RARG,0.0009545269671984981,-0.8176070623547791,DMSO,Ruxolitinib,0.002683281363346889,All age groups,op,Ruxolitinib,CD4T
RBPJ,1.6128081300860008e-06,-1.2278081039902948,DMSO,Ruxolitinib,6.00059495458468e-06,All age groups,op,Ruxolitinib,CD4T
REL,0.06380407120622925,-0.8246750308962142,DMSO,Ruxolitinib,0.11613259003723739,All age groups,op,Ruxolitinib,CD4T
RELA,3.0424301778986293e-05,-0.4446962099471226,DMSO,Ruxolitinib,0.00010263131133444709,All age groups,op,Ruxolitinib,CD4T
RELB,0.00044048057815631155,-0.9686471959595062,DMSO,Ruxolitinib,0.0013426697141391184,All age groups,op,Ruxolitinib,CD4T
REST,3.718312820947773e-08,-0.9580849327195816,DMSO,Ruxolitinib,1.4932272122218835e-07,All age groups,op,Ruxolitinib,CD4T
RFX3,0.8878905573048629,0.024222107519392466,DMSO,Ruxolitinib,0.9057915766053641,All age groups,op,Ruxolitinib,CD4T
RLF,0.5062456056200546,0.1262343622759623,DMSO,Ruxolitinib,0.6013152029195954,All age groups,op,Ruxolitinib,CD4T
RORA,0.03930365619625011,-1.693291936053252,DMSO,Ruxolitinib,0.07533200770947938,All age groups,op,Ruxolitinib,CD4T
RORC,0.0322824098470527,-0.8360018494197226,DMSO,Ruxolitinib,0.06431062749058529,All age groups,op,Ruxolitinib,CD4T
RREB1,0.6572783558198758,-0.030460531844129928,DMSO,Ruxolitinib,0.7397640902322801,All age groups,op,Ruxolitinib,CD4T
RUNX1,0.7782119095546576,-0.07213539203133597,DMSO,Ruxolitinib,0.8203650546555349,All age groups,op,Ruxolitinib,CD4T
RUNX2,0.1147428936756139,-0.5007952350222796,DMSO,Ruxolitinib,0.1837338740501919,All age groups,op,Ruxolitinib,CD4T
RUNX3,0.00676498296711164,-1.4230173142186004,DMSO,Ruxolitinib,0.015847598987770786,All age groups,op,Ruxolitinib,CD4T
RXRA,0.04605629197244517,-0.41018200987608583,DMSO,Ruxolitinib,0.08567824903697521,All age groups,op,Ruxolitinib,CD4T
SAFB,3.0425374432165874e-10,-0.32960325307599625,DMSO,Ruxolitinib,1.4803114867957627e-09,All age groups,op,Ruxolitinib,CD4T
SAFB2,2.694416565069922e-08,-0.5269397425119399,DMSO,Ruxolitinib,1.1175203130535906e-07,All age groups,op,Ruxolitinib,CD4T
SATB1,2.3152492242560747e-16,1.1601179006454512,DMSO,Ruxolitinib,1.5019437275302229e-15,All age groups,op,Ruxolitinib,CD4T
SKI,0.2808274734820263,-0.14729130264000406,DMSO,Ruxolitinib,0.3759224909574214,All age groups,op,Ruxolitinib,CD4T
SKIL,0.16896666066232247,-0.15410959365814847,DMSO,Ruxolitinib,0.26717853217229737,All age groups,op,Ruxolitinib,CD4T
SMAD3,0.01747123499671439,-1.202363332859496,DMSO,Ruxolitinib,0.03683518711807284,All age groups,op,Ruxolitinib,CD4T
SMAD5,0.02654313937375465,-0.9196097472577917,DMSO,Ruxolitinib,0.05459686391512135,All age groups,op,Ruxolitinib,CD4T
SNAI3,4.581790545459947e-12,-1.2548760200657003,DMSO,Ruxolitinib,2.4663681021305672e-11,All age groups,op,Ruxolitinib,CD4T
SOX13,0.016012261665765262,-0.8793348628165472,DMSO,Ruxolitinib,0.034331374588462804,All age groups,op,Ruxolitinib,CD4T
SOX4,6.537847015814245e-80,0.486386408694441,DMSO,Ruxolitinib,1.654075295001004e-78,All age groups,op,Ruxolitinib,CD4T
SP1,0.36229119725908765,-0.11773091218649746,DMSO,Ruxolitinib,0.46292764094216754,All age groups,op,Ruxolitinib,CD4T
SP110,6.762229992842529e-25,-1.491747798545807,DMSO,Ruxolitinib,5.518852219965032e-24,All age groups,op,Ruxolitinib,CD4T
SP140L,1.2991973542474343e-146,-0.7107846118258614,DMSO,Ruxolitinib,5.4782821770766815e-145,All age groups,op,Ruxolitinib,CD4T
SP3,0.669507601211992,0.07771307284543383,DMSO,Ruxolitinib,0.7429185223975174,All age groups,op,Ruxolitinib,CD4T
SP4,0.2330162192786509,-0.16604791605003064,DMSO,Ruxolitinib,0.3302354335591534,All age groups,op,Ruxolitinib,CD4T
SPEN,0.8354046085185528,-0.05718646981596661,DMSO,Ruxolitinib,0.86268312634773,All age groups,op,Ruxolitinib,CD4T
SREBF1,1.4957120990941133e-08,0.6211480024012089,DMSO,Ruxolitinib,6.306919351180178e-08,All age groups,op,Ruxolitinib,CD4T
SREBF2,0.10814665361718198,-0.2708949055364987,DMSO,Ruxolitinib,0.17588313421729118,All age groups,op,Ruxolitinib,CD4T
STAT1,5.92687774043156e-44,-5.039088290479768,DMSO,Ruxolitinib,7.14047651585326e-43,All age groups,op,Ruxolitinib,CD4T
STAT2,4.749125052135459e-32,-1.8976289651488163,DMSO,Ruxolitinib,4.291173707822397e-31,All age groups,op,Ruxolitinib,CD4T
STAT3,0.9355356202207981,0.02133811024417298,DMSO,Ruxolitinib,0.9355356202207981,All age groups,op,Ruxolitinib,CD4T
STAT4,0.10844967959643251,-0.20903629426360243,DMSO,Ruxolitinib,0.17588313421729118,All age groups,op,Ruxolitinib,CD4T
STAT5A,2.3775020380359973e-68,-0.6915087456167633,DMSO,Ruxolitinib,4.296485825879338e-67,All age groups,op,Ruxolitinib,CD4T
STAT5B,0.18567240493979098,-0.4612638984341452,DMSO,Ruxolitinib,0.27961380029623284,All age groups,op,Ruxolitinib,CD4T
STAT6,8.964852667960317e-187,-0.5320852614559316,DMSO,Ruxolitinib,7.560359083313201e-185,All age groups,op,Ruxolitinib,CD4T
TBPL1,3.14843076482942e-08,-0.5058751030264131,DMSO,Ruxolitinib,1.284762876615876e-07,All age groups,op,Ruxolitinib,CD4T
TBX21,0.0046205591821626545,-1.2969484794878425,DMSO,Ruxolitinib,0.011460798755756387,All age groups,op,Ruxolitinib,CD4T
TCF12,0.338437310756984,-0.21310910040281308,DMSO,Ruxolitinib,0.4368604062322294,All age groups,op,Ruxolitinib,CD4T
TCF7,2.108577267091183e-06,1.8739044722867975,DMSO,Ruxolitinib,7.731449979334338e-06,All age groups,op,Ruxolitinib,CD4T
TFDP1,1.0318137439067921e-17,-0.12817468711378713,DMSO,Ruxolitinib,7.055375059686985e-17,All age groups,op,Ruxolitinib,CD4T
TFDP2,1.0251880178606813e-45,0.36093652977206775,DMSO,Ruxolitinib,1.4409587139930685e-44,All age groups,op,Ruxolitinib,CD4T
TFE3,0.358890230483913,-0.11346074017463792,DMSO,Ruxolitinib,0.46090978838796953,All age groups,op,Ruxolitinib,CD4T
TGIF1,0.0005778941333320483,-0.8258359336401208,DMSO,Ruxolitinib,0.0017000839038721887,All age groups,op,Ruxolitinib,CD4T
THAP11,0.007887715003779619,-0.15883646355563721,DMSO,Ruxolitinib,0.017978305368975166,All age groups,op,Ruxolitinib,CD4T
THRA,9.014245226289188e-08,0.3306348712013867,DMSO,Ruxolitinib,3.5634438160174447e-07,All age groups,op,Ruxolitinib,CD4T
TRERF1,0.27703356606156626,-0.23709162007577925,DMSO,Ruxolitinib,0.3728164479445546,All age groups,op,Ruxolitinib,CD4T
TRPS1,0.6068753530227019,-0.04868063716745515,DMSO,Ruxolitinib,0.7108308533089981,All age groups,op,Ruxolitinib,CD4T
USF2,0.0007028820879681253,-0.6770916585144887,DMSO,Ruxolitinib,0.0019980805422015247,All age groups,op,Ruxolitinib,CD4T
XBP1,4.473484351489585e-45,-1.4867779856534398,DMSO,Ruxolitinib,5.658957704634325e-44,All age groups,op,Ruxolitinib,CD4T
